1.0,3.0,3.0,2.0,0.58,0.05,0.73,0.35,0.03,-0.15,0.11,114188.0,-54.73136366327284,97.65729411541903,-123.45479632374791
1.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.03,-0.29,0.25,114246.0,-53.951503397235555,97.61274180695034,-122.57772057685932
1.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.04,-0.12,0.16,114304.0,-53.951503397235555,97.61274180695034,-122.57772057685932
1.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.17,-0.14,0.05,114360.0,-53.951503397235555,97.61274180695034,-122.57772057685932
1.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.06,-0.03,0.06,114417.0,-53.951503397235555,97.61274180695034,-122.57772057685932
1.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.08,0.03,0.05,114476.0,-53.951503397235555,97.61274180695034,-122.57772057685932
1.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.08,-0.09,0.04,114532.0,-53.951503397235555,97.61274180695034,-122.57772057685932
0.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,-0.07,0.09,0.19,114588.0,-53.951503397235555,97.61274180695034,-122.57772057685932
0.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.0,-0.07,0.18,114647.0,-53.951503397235555,97.61274180695034,-122.57772057685932
0.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,-0.01,0.0,0.02,114704.0,-53.951503397235555,97.61274180695034,-122.57772057685932
0.0,3.0,3.0,2.0,0.58,0.06,0.73,0.35,0.04,-0.03,0.0,114760.0,-53.951503397235555,97.61274180695034,-122.57772057685932
0.0,3.0,3.0,2.0,0.59,0.06,0.73,0.35,0.0,-0.09,0.16,114817.0,-54.45146099081852,96.46230210373825,-121.24401542510005
0.0,3.0,3.0,2.0,0.59,0.05,0.73,0.35,-0.06,-0.09,0.11,114872.0,-55.23233611985772,96.48578015390198,-122.09431228447549
0.0,3.0,3.0,2.0,0.59,0.05,0.73,0.35,-0.14,0.03,0.16,114928.0,-55.23233611985772,96.48578015390198,-122.09431228447549
0.0,3.0,3.0,2.0,0.59,0.05,0.73,0.35,-0.14,0.1,0.26,114985.0,-55.23233611985772,96.48578015390198,-122.09431228447549
0.0,3.0,3.0,2.0,0.59,0.05,0.73,0.35,-0.02,0.32,-0.06,115041.0,-55.23233611985772,96.48578015390198,-122.09431228447549
0.0,3.0,3.0,2.0,0.59,0.05,0.73,0.35,-0.12,0.01,0.15,115099.0,-55.23233611985772,96.48578015390198,-122.09431228447549
0.0,3.0,3.0,2.0,0.59,0.04,0.73,0.35,0.01,0.01,0.07,115156.0,-56.0136968445114,96.53051254163552,-122.96316066921673
0.0,3.0,3.0,2.0,0.59,0.04,0.72,0.35,-0.19,-0.23,-0.06,115213.0,-56.03677588412562,95.12131651077861,-121.74858113506541
0.0,3.0,3.0,2.0,0.59,0.04,0.72,0.35,-0.08,-0.11,0.03,115269.0,-56.03677588412562,95.12131651077861,-121.74858113506541
0.0,3.0,3.0,2.0,0.6,0.04,0.72,0.35,0.16,-0.06,0.02,115325.0,-56.50305104601328,93.88640490526174,-120.31905303284296
0.0,3.0,3.0,2.0,0.6,0.04,0.72,0.34,0.31,0.17,0.1,115381.0,-57.19276491780515,94.72130230843612,-120.32983443900964
0.0,3.0,3.0,2.0,0.6,0.04,0.72,0.34,0.3,0.11,0.23,115439.0,-57.19276491780515,94.72130230843612,-120.32983443900964
0.0,3.0,3.0,2.0,0.6,0.04,0.72,0.34,0.22,0.05,0.16,115496.0,-57.19276491780515,94.72130230843612,-120.32983443900964
0.0,3.0,3.0,2.0,0.6,0.05,0.72,0.34,0.07,0.66,0.58,115553.0,-56.39937490848233,94.71187230837148,-119.49358562973329
0.0,3.0,3.0,2.0,0.6,0.05,0.72,0.33,0.01,0.79,1.07,115610.0,-57.094060047838326,95.5494359295195,-119.50170081792622
0.0,3.0,3.0,2.0,0.6,0.06,0.72,0.33,0.52,0.27,2.43,115666.0,-56.301736266431575,95.54259817483464,-118.66285976327015
0.0,3.0,3.0,2.0,0.61,0.08,0.72,0.32,0.39,0.8,2.58,115722.0,-55.871304519699585,95.14724296146666,-115.60525953618571
0.0,3.0,3.0,2.0,0.63,0.11,0.71,0.3,0.56,1.22,2.6,115778.0,-55.6940000590665,92.97070800240562,-109.11117235824179
0.0,3.0,3.0,2.0,0.65,0.17,0.68,0.28,0.29,2.43,1.15,115834.0,-52.65535084111397,89.08608701544816,-98.54206265313255
0.0,3.0,3.0,2.0,0.68,0.25,0.64,0.24,0.16,2.36,0.2,115892.0,-49.145691705860834,85.7671922607004,-84.89909099642159
0.0,3.0,3.0,2.0,0.71,0.34,0.58,0.21,-0.47,1.2,-0.02,115950.0,-42.89554177560407,82.45599500060793,-70.94686433840354
0.0,3.0,3.0,2.0,0.72,0.46,0.48,0.19,-1.0,0.89,0.64,116008.0,-31.21250934831672,82.41468602087231,-57.05391903723268
0.0,3.0,3.0,2.0,0.69,0.6,0.36,0.18,1.32,1.11,0.21,116065.0,-16.339870115349267,88.86930904876205,-45.26649007605842
0.0,3.0,3.0,2.0,0.65,0.7,0.23,0.2,1.77,3.33,0.47,116121.0,-1.082837296691109,94.58755726790488,-35.378655775895076
0.0,3.0,3.0,2.0,0.58,0.77,0.06,0.25,3.38,3.13,0.62,116176.0,18.472988553179615,102.08119353829098,-23.89347576583196
